date,NASDAQ 100 Tech Index,S&P Healthcare Index,Gold_Price,Oil_Price,Dollar_Index,Gold_Volume,Oil_Volume,BEIR,VIX index
2024-02-13,10154.5,1665.05004882812,1992.90002441406,77.870002746582,104.959999084473,198,338174,2.29,15.8500003814697
2024-02-14,10347.87,1678.5,1990.30004882812,76.6399993896484,104.720001220703,1916,296131,2.3,14.3800001144409
2024-02-15,10342.72,1690.30004882812,2002.09997558594,78.0299987792969,104.300003051758,286,122432,2.3,14.0100002288818
2024-02-16,10225.03,1695.11999511719,2011.5,79.1900024414062,104.300003051758,32,113713,2.33,14.2399997711182
2024-02-20,10122.3,1688.32995605469,2027.5,78.1800003051758,104.080001831055,1326,435235,2.32,15.4200000762939
2024-02-21,9939.39,1692.77001953125,2022.30004882812,77.9100036621094,104.01000213623,15,323243,2.34,15.3400001525879
2024-02-22,10306.18,1713.18005371094,2019.69995117188,78.6100006103516,103.959999084473,964,330511,2.31,14.539999961853
2024-02-23,10265.71,1720.80004882812,2038.59997558594,76.4899978637695,103.940002441406,22,353437,2.3,13.75
2024-02-26,10329.92,1712.10998535156,2028.5,77.5800018310547,103.830001831055,143,274710,2.31,13.7399997711182
2024-02-27,10347.51,1707.43994140625,2034.0,78.870002746582,103.830001831055,964,269236,2.32,13.4300003051758
2024-02-28,10257.58,1698.75,2033.0,78.5400009155273,103.980003356934,581,330043,2.33,13.8400001525879
2024-02-29,10411.78,1686.41003417969,2045.69995117188,78.2600021362305,104.160003662109,706,317939,2.33,13.3999996185303
2024-03-01,10606.23,1702.7900390625,2086.89990234375,79.9700012207031,103.860000610352,1210,363417,2.32,13.1099996566772
2024-03-04,10606.42,1700.53002929688,2117.69995117188,78.7399978637695,103.830001831055,805,347214,2.34,13.4899997711182
2024-03-05,10332.76,1687.01000976562,2133.5,78.1500015258789,103.800003051758,1287,436521,2.32,14.460000038147
2024-03-06,10475.54,1698.97998046875,2150.30004882812,79.129997253418,103.370002746582,443,371049,2.3,14.5
2024-03-07,10686.65,1707.30004882812,2158.0,78.9300003051758,102.819999694824,152,432923,2.28,14.4399995803833
